trial_id,seed,case_id,axis,node_zero_based,FEM_peak_time_s,time_s,model,displacement_m
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.45,physics,0.0011189482174813747
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.47500000000000003,physics,0.0010993066243827343
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.5,physics,0.0010722295846790075
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.525,physics,0.0010376176796853542
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.55,physics,0.0010091321310028434
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.5750000000000001,physics,0.0010028292890638113
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.6000000000000001,physics,0.0010226989397779107
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.625,physics,0.0010577199282124639
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.65,physics,0.0010999003425240517
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.675,physics,0.0011390561703592539
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.7000000000000001,physics,0.0011652469402179122
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.7250000000000001,physics,0.0011763335205614567
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.75,physics,0.001174480770714581
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.775,physics,0.0011624885955825448
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.8,physics,0.0011403579264879227
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.8250000000000001,physics,0.0011140531860291958
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.8500000000000001,physics,0.0010916119208559394
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.875,physics,0.0010755507973954082
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.9,physics,0.001067869015969336
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.925,physics,0.0010727036278694868
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.9500000000000001,physics,0.00108950468711555
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.9750000000000001,physics,0.0011072620982304215
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.0,physics,0.0011120433919131756
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.0250000000000001,physics,0.001100327237509191
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.05,physics,0.0010826170910149813
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.075,physics,0.0010680240811780095
