case_id,base_case_id,seismic_scale_factor,wind_mps,train_count,case_total_field_path,base_total_field_path,increment_definition,reconstruction_definition,coordinate_error_m,time_error_s
BASE_C1_0T,BASE_C1_0T,0.0,0.0,0,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\BASE_C1_0T\compact_kinematics.h5,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\BASE_C1_0T\compact_kinematics.h5,DeltaU=U_case_total-U_base_total_same_saved_time_node_component,U_total=U_base_FEM+DeltaU_pred,0.0,0.0
BASE_C2_0T,BASE_C2_0T,0.4,20.0,0,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\BASE_C2_0T\compact_kinematics.h5,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\BASE_C2_0T\compact_kinematics.h5,DeltaU=U_case_total-U_base_total_same_saved_time_node_component,U_total=U_base_FEM+DeltaU_pred,0.0,0.0
BASE_C3_0T,BASE_C3_0T,0.0,20.0,0,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\BASE_C3_0T\compact_kinematics.h5,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\BASE_C3_0T\compact_kinematics.h5,DeltaU=U_case_total-U_base_total_same_saved_time_node_component,U_total=U_base_FEM+DeltaU_pred,0.0,0.0
BASE_C8_0T,BASE_C8_0T,0.4,0.0,0,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\BASE_C8_0T\compact_kinematics.h5,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\BASE_C8_0T\compact_kinematics.h5,DeltaU=U_case_total-U_base_total_same_saved_time_node_component,U_total=U_base_FEM+DeltaU_pred,0.0,0.0
V40_A_E1_C4_2T,BASE_C3_0T,0.0,20.0,2,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\V40_A_E1_C4_2T\compact_kinematics.h5,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\BASE_C3_0T\compact_kinematics.h5,DeltaU=U_case_total-U_base_total_same_saved_time_node_component,U_total=U_base_FEM+DeltaU_pred,0.0,0.0
V40_B_E1_C4_2T,BASE_C3_0T,0.0,20.0,2,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\V40_B_E1_C4_2T\compact_kinematics.h5,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\BASE_C3_0T\compact_kinematics.h5,DeltaU=U_case_total-U_base_total_same_saved_time_node_component,U_total=U_base_FEM+DeltaU_pred,0.0,0.0
V40_CPLUS_E1_C4_2T,BASE_C3_0T,0.0,20.0,2,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\V40_CPLUS_E1_C4_2T\compact_kinematics.h5,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\BASE_C3_0T\compact_kinematics.h5,DeltaU=U_case_total-U_base_total_same_saved_time_node_component,U_total=U_base_FEM+DeltaU_pred,0.0,0.0
V40_C_E1_C4_2T,BASE_C3_0T,0.0,20.0,2,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\V40_C_E1_C4_2T\compact_kinematics.h5,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\BASE_C3_0T\compact_kinematics.h5,DeltaU=U_case_total-U_base_total_same_saved_time_node_component,U_total=U_base_FEM+DeltaU_pred,0.0,0.0
V52_A_E1_C4_2T,BASE_C3_0T,0.0,20.0,2,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\V52_A_E1_C4_2T\compact_kinematics.h5,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\BASE_C3_0T\compact_kinematics.h5,DeltaU=U_case_total-U_base_total_same_saved_time_node_component,U_total=U_base_FEM+DeltaU_pred,0.0,0.0
V52_B_E1_C4_2T,BASE_C3_0T,0.0,20.0,2,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\V52_B_E1_C4_2T\compact_kinematics.h5,G:\Mi unidad\RESEARCH-BRIDGE\7-TESIS\Full Data Extracción\Original_extractions_20260801\cases\BASE_C3_0T\compact_kinematics.h5,DeltaU=U_case_total-U_base_total_same_saved_time_node_component,U_total=U_base_FEM+DeltaU_pred,0.0,0.0
