trial_id,variant,seed,case_id,axis,model,quantity,derivative_vs_velocity_relative_l2,derivative_vs_velocity_relative_l2_defined,derivative_vs_velocity_rmse_mps
COMMON_FEM,common,-1,V52_B_E3_C6_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.3487773271746403,True,0.0024491517836631995
R4_LHS_03,physics,20260813,V52_B_E3_C6_1T,Z,candidate,incremental_displacement_to_velocity,0.6300542717162004,True,0.0036596026082298095
COMMON_FEM,common,-1,V52_B_E3_C6_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.18747488906071635,True,0.0011163748804860361
R4_LHS_03,physics,20260813,V52_CPLUS_E3_C6_1T,X,candidate,incremental_displacement_to_velocity,0.7986130078408472,True,0.000910505035435269
COMMON_FEM,common,-1,V52_CPLUS_E3_C6_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.28096397790004546,True,0.0003483199593256252
R4_LHS_03,physics,20260813,V52_CPLUS_E3_C6_1T,Y,candidate,incremental_displacement_to_velocity,0.8932908617824824,True,0.00853357494172164
COMMON_FEM,common,-1,V52_CPLUS_E3_C6_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.3516991776428601,True,0.003535884122159087
R4_LHS_03,physics,20260813,V52_CPLUS_E3_C6_1T,Z,candidate,incremental_displacement_to_velocity,0.8702886823676276,True,0.006071676378861956
COMMON_FEM,common,-1,V52_CPLUS_E3_C6_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.23889022199520996,True,0.0017541477390868392
R4_LHS_03,physics,20260813,V52_C_E3_C6_1T,X,candidate,incremental_displacement_to_velocity,0.798678869559295,True,0.0007408456605564059
COMMON_FEM,common,-1,V52_C_E3_C6_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.2985342168068541,True,0.0002970949213945107
R4_LHS_03,physics,20260813,V52_C_E3_C6_1T,Y,candidate,incremental_displacement_to_velocity,0.8888884138447966,True,0.006961131754170421
COMMON_FEM,common,-1,V52_C_E3_C6_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.3474141690703797,True,0.0028325799325964436
R4_LHS_03,physics,20260813,V52_C_E3_C6_1T,Z,candidate,incremental_displacement_to_velocity,0.7667220153560599,True,0.004762676697686631
COMMON_FEM,common,-1,V52_C_E3_C6_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.20751284852350144,True,0.001339191845794255
R4_LHS_03,physics,20260813,V40_A_E4_C7_1T,X,candidate,incremental_displacement_to_velocity,0.8695189051150916,True,0.000694571878743657
COMMON_FEM,common,-1,V40_A_E4_C7_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.6722871136619366,True,0.0006354049311506533
R4_LHS_03,physics,20260813,V40_A_E4_C7_1T,Y,candidate,incremental_displacement_to_velocity,1.0090570410615787,True,0.004379735671516391
COMMON_FEM,common,-1,V40_A_E4_C7_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.286191169678676,True,0.0013038557221647115
