epoch,elapsed_s,lr,train_data_loss,train_physics_loss,val_X_l2,val_Y_l2,val_Z_l2,val_P90_worst,val_case_worst,val_velocity_median,val_residual_median,selection_key,peak_vram_GiB
0,1.5241149999928894,0.0,nan,nan,0.9985552626937128,0.9953154873593197,1.0021574641423023,1.0027061205602206,1.0032142580714722,1.005334725482507,5.111992154785612e-08,"[6.0, 1.0021574641423023, 1.0021574641423023, 1.0027061205602206, 1.0032142580714722, 2.9960282141953347, 1.005334725482507, 5.111992154785612e-08, 377760]",1.7326183319091797
1,3.7975991999992402,0.00019716996643689944,9.909165978431702,0.0788325626635924,0.9963808647557492,0.9899629525631898,0.9958154094105075,1.0005459691109961,1.001116464235133,1.0037650137037553,5.111992154785612e-08,"[6.0, 0.9963808647557492, 0.9963808647557492, 1.0005459691109961, 1.001116464235133, 2.9821592267294466, 1.0037650137037553, 5.111992154785612e-08, 377760]",1.838252067565918
5,8.578916300000856,0.000985849832184497,6.857179641723633,0.0788325626635924,0.8768949060097505,0.706228029327366,0.4328227963737709,0.969158968189312,0.9819467629763788,0.9811501979114208,5.111992154785612e-08,"[6.0, 0.8768949060097505, 0.8768949060097505, 0.969158968189312, 0.9819467629763788, 2.0159457317108873, 0.9811501979114208, 5.111992154785612e-08, 377760]",1.838252067565918
10,14.172960899988539,0.000985849832184497,3.303244799375534,0.0788325626635924,0.7193470773317217,0.349205716769321,0.28161415813568363,0.8430192104443719,0.8603191419316187,0.7614721021629485,5.111992154785612e-08,"[6.0, 0.7193470773317217, 0.7193470773317217, 0.8430192104443719, 0.8603191419316187, 1.3501669522367263, 0.7614721021629485, 5.111992154785612e-08, 377760]",1.838252067565918
15,19.61359549999179,0.000985849832184497,1.8920585811138153,0.0788325626635924,0.4551552851249143,0.25273725384284046,0.1788434905571249,0.4938888221055357,0.4992427081817075,0.747332283494096,5.111992154785612e-08,"[6.0, 0.4551552851249143, 0.4551552851249143, 0.4938888221055357, 0.4992427081817075, 0.8867360295248796, 0.747332283494096, 5.111992154785612e-08, 377760]",1.838252067565918
20,24.92298179998761,0.000985849832184497,1.1335158050060272,0.0788325626635924,0.31846890621529056,0.28301369173799185,0.207260630796769,0.3832943327440188,0.39240329357287373,0.7632418375962557,5.111992154785612e-08,"[6.0, 0.31846890621529056, 0.31846890621529056, 0.3832943327440188, 0.39240329357287373, 0.8087432287500514, 0.7632418375962557, 5.111992154785612e-08, 377760]",1.838252067565918
25,30.354313599993475,0.000985849832184497,0.7945723682641983,0.0788325626635924,0.2424426933365669,0.22540393118250582,0.16333646828949036,0.2997010886359683,0.30778478318159297,0.7390142355779595,5.111992154785612e-08,"[5.0, 0.2424426933365669, 0.2424426933365669, 0.2997010886359683, 0.30778478318159297, 0.6311830928085631, 0.7390142355779595, 5.111992154785612e-08, 377760]",1.838252067565918
30,36.03071179999097,0.000985849832184497,0.6503934264183044,0.0788325626635924,0.19750395254640168,0.16660992991714627,0.1057103081410623,0.24724515150482126,0.25428371798012517,0.7291204529604376,5.111992154785612e-08,"[4.0, 0.19750395254640168, 0.19750395254640168, 0.24724515150482126, 0.25428371798012517, 0.4698241906046102, 0.7291204529604376, 5.111992154785612e-08, 377760]",1.838252067565918
35,41.60223199999018,0.000985849832184497,0.6073000133037567,0.0788325626635924,0.1863428418067956,0.1605086582701311,0.10730208440175748,0.22520484787016573,0.2306694677564844,0.7234773785413402,5.111992154785612e-08,"[4.0, 0.1863428418067956, 0.1863428418067956, 0.22520484787016573, 0.2306694677564844, 0.4541535844786842, 0.7234773785413402, 5.111992154785612e-08, 377760]",1.838252067565918
40,46.9417725999956,0.000985849832184497,0.5923944413661957,0.0788325626635924,0.20042316218893025,0.1567963947617123,0.10136407197249717,0.2575994804995986,0.26573042983285833,0.7201669535734392,5.111992154785612e-08,"[4.0, 0.20042316218893025, 0.20042316218893025, 0.2575994804995986, 0.26573042983285833, 0.45858362892313975, 0.7201669535734392, 5.111992154785612e-08, 377760]",1.838252067565918
