epoch,elapsed_s,lr,train_data_loss,train_physics_loss,val_X_l2,val_Y_l2,val_Z_l2,val_P90_worst,val_case_worst,val_velocity_median,val_residual_median,selection_key,peak_vram_GiB
0,1.1888901999991504,0.0,nan,nan,1.0044523343683727,1.0153406031898744,0.9949270229126362,1.0197664744211208,1.0210446050735529,1.0025793031062848,0.010748722815054495,"[6.0, 1.0153406031898744, 1.0153406031898744, 1.0197664744211208, 1.0210446050735529, 3.014719960470883, 1.0025793031062848, 0.010748722815054495, 279753]",1.5306439399719238
1,3.0037793000010424,0.00019566470779968276,13.51858401298523,0.05339279561303556,1.001958928496285,1.006258239438748,0.9860988450636502,1.0133455556658633,1.0149049321932107,1.001135597669226,0.010748722815054495,"[6.0, 1.006258239438748, 1.006258239438748, 1.0133455556658633, 1.0149049321932107, 2.9943160129986834, 1.001135597669226, 0.010748722815054495, 279753]",1.7839446067810059
5,7.6092917999994825,0.0009783235389984137,9.404611706733704,0.05339279561303556,0.8786452127920271,0.6134051158471113,0.33319547648428377,0.9500230239547014,0.9598840020585789,0.9547081782025092,0.010748722815054495,"[6.0, 0.8786452127920271, 0.8786452127920271, 0.9500230239547014, 0.9598840020585789, 1.8252458051234222, 0.9547081782025092, 0.010748722815054495, 279753]",1.7839446067810059
10,12.86420150000049,0.0009783235389984137,5.410306960344315,0.05339279561303556,0.7026176667033658,0.3946147889246611,0.2690761552679206,0.7361956901019814,0.7408140751726684,0.78141577589219,0.010748722815054495,"[6.0, 0.7026176667033658, 0.7026176667033658, 0.7361956901019814, 0.7408140751726684, 1.3663086108959475, 0.78141577589219, 0.010748722815054495, 279753]",1.7839446067810059
15,17.983016999998654,0.0009783235389984137,3.4674258828163147,0.05339279561303556,0.4122634728468649,0.22280350498807833,0.18340594003308927,0.4960583301110278,0.5078322830276467,0.7411739561633738,0.010748722815054495,"[6.0, 0.4122634728468649, 0.4122634728468649, 0.4960583301110278, 0.5078322830276467, 0.8184729178680324, 0.7411739561633738, 0.010748722815054495, 279753]",1.7839446067810059
20,23.191545800000313,0.0009783235389984137,2.970017969608307,0.05339279561303556,0.35946701344821136,0.29073646809379383,0.2498591091285238,0.3905288678411591,0.394823103827479,0.7309433114164873,0.010748722815054495,"[6.0, 0.35946701344821136, 0.35946701344821136, 0.3905288678411591, 0.394823103827479, 0.900062590670529, 0.7309433114164873, 0.010748722815054495, 279753]",1.7839446067810059
25,28.65954139999667,0.0009783235389984137,2.614286035299301,0.05339279561303556,0.26416159013985674,0.21050456026247774,0.19309386267905493,0.30657311775315377,0.31249640816323526,0.7174135763907845,0.010748722815054495,"[5.0, 0.26416159013985674, 0.26416159013985674, 0.30657311775315377, 0.31249640816323526, 0.6677600130813894, 0.7174135763907845, 0.010748722815054495, 279753]",1.7839446067810059
30,33.994996399997035,0.0009783235389984137,2.4097733199596405,0.05339279561303556,0.1726095784775384,0.14444070837131553,0.09311617539035202,0.25528319390244425,0.2674105133689026,0.7133516555973348,0.010748722815054495,"[3.0, 0.1726095784775384, 0.1726095784775384, 0.25528319390244425, 0.2674105133689026, 0.41016646223920594, 0.7133516555973348, 0.010748722815054495, 279753]",1.7839446067810059
35,39.294346399998176,0.0009783235389984137,2.411222532391548,0.05339279561303556,0.1763424934033329,0.14117852440563192,0.09914029464611082,0.21648835594183508,0.2221491005216099,0.713746119377466,0.010748722815054495,"[3.0, 0.1763424934033329, 0.1763424934033329, 0.21648835594183508, 0.2221491005216099, 0.41666131245507565, 0.713746119377466, 0.010748722815054495, 279753]",1.7839446067810059
40,44.28487060000043,0.0009783235389984137,2.5371101051568985,0.05339279561303556,0.19502308439226493,0.15791523961645534,0.1168114615610202,0.27830298120258223,0.2904128658418207,0.7196107234440053,0.010748722815054495,"[5.0, 0.19502308439226493, 0.19502308439226493, 0.27830298120258223, 0.2904128658418207, 0.46974978556974045, 0.7196107234440053, 0.010748722815054495, 279753]",1.7839446067810059
45,49.60815339999681,0.0009783235389984137,2.343316860496998,0.05339279561303556,0.13916857014086612,0.1175279171369218,0.0810712588489102,0.18997977842641695,0.19729486123922133,0.7077979558274415,0.010748722815054495,"[2.0, 0.13916857014086612, 0.13916857014086612, 0.18997977842641695, 0.19729486123922133, 0.33776774612669813, 0.7077979558274415, 0.010748722815054495, 279753]",1.7839446067810059
50,55.027805600002466,0.0009783235389984137,2.2555792778730392,0.05339279561303556,0.13360612801981692,0.11054135930755118,0.07070244648114704,0.18222070192229703,0.18921817376287905,0.7062360040371201,0.010748722815054495,"[2.0, 0.13360612801981692, 0.13360612801981692, 0.18222070192229703, 0.18921817376287905, 0.3148499338085151, 0.7062360040371201, 0.010748722815054495, 279753]",1.7839446067810059
